UNITID-PK,AWLEVELC-PK,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
174862,5,R,207,R,107,R,100,R,1,R,22,R,12,R,13,R,1,R,150,R,4,Z,0,R,4,R,1,R,127,R,54,R,25,Z,0
174862,7,R,127,R,66,R,61,Z,0,R,9,R,5,R,8,R,2,R,101,R,1,Z,0,R,1,Z,0,R,18,R,57,R,52,Z,0
174862,10,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
174862,12,R,4,Z,0,R,4,Z,0,R,1,R,1,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,R,1,R,3,Z,0,Z,0
174899,5,R,738,R,183,R,555,R,6,R,19,R,21,R,21,R,0,R,625,R,22,R,16,R,8,R,0,R,387,R,269,R,82,R,0
174899,7,R,308,R,66,R,242,R,4,R,14,R,20,R,9,R,1,R,241,R,10,R,8,R,1,R,0,R,21,R,215,R,72,R,0
174899,9,R,208,R,46,R,162,R,2,R,30,R,12,R,14,R,0,R,126,R,2,R,22,R,0,R,0,R,0,R,102,R,106,R,0
174899,10,R,142,R,30,R,112,R,0,R,2,R,5,R,2,R,0,R,125,R,3,R,4,R,1,R,0,R,3,R,79,R,60,R,0
174899,12,R,12,R,1,R,11,R,0,R,1,R,0,R,0,R,0,R,10,R,1,R,0,R,0,R,0,R,9,R,2,R,1,R,0
174914,2,R,4,R,3,R,1,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,1,R,0,R,0,R,3,R,1,R,0,R,0
174914,3,R,79,R,32,R,47,R,0,R,10,R,19,R,30,R,0,R,3,R,7,R,10,R,0,R,0,R,79,R,0,R,0,R,0
174914,5,R,1373,R,727,R,646,R,1,R,55,R,35,R,67,R,0,R,1072,R,49,R,53,R,41,R,0,R,1277,R,88,R,8,R,0
174914,7,R,970,R,454,R,516,R,0,R,75,R,65,R,34,R,0,R,539,R,30,R,113,R,114,R,0,R,70,R,703,R,197,R,0
174914,9,R,196,R,76,R,120,R,2,R,3,R,10,R,13,R,0,R,145,R,5,R,9,R,9,R,0,R,24,R,141,R,31,R,0
174914,10,R,267,R,150,R,117,R,0,R,35,R,17,R,6,R,0,R,131,R,2,R,32,R,44,R,0,R,10,R,201,R,56,R,0
174978,2,R,41,R,2,R,39,R,1,R,1,R,7,R,9,R,1,R,12,R,4,R,6,R,0,R,0,R,30,R,9,R,2,R,0
174978,12,R,47,R,0,R,47,R,0,R,4,R,10,R,1,R,2,R,19,R,2,R,9,R,0,R,0,R,32,R,11,R,4,R,0
175005,3,R,354,R,47,R,307,Z,0,R,28,R,37,R,64,R,4,R,202,R,13,R,6,Z,0,R,0,R,39,R,261,R,54,Z,0
175005,5,R,562,R,11,R,551,R,0,R,72,R,50,R,49,R,0,R,357,R,20,R,9,R,5,R,0,R,352,R,158,R,52,R,0
175005,7,R,403,R,29,R,374,R,1,R,19,R,25,R,19,R,0,R,308,R,6,R,20,R,5,R,0,R,16,R,300,R,86,R,1
175005,9,R,71,R,11,R,60,R,0,R,1,R,1,R,1,R,0,R,63,R,1,R,4,R,0,R,0,R,4,R,53,R,14,Z,0
175005,10,R,45,R,2,R,43,Z,0,Z,0,Z,0,R,4,Z,0,R,39,Z,0,R,2,Z,0,R,0,R,3,R,20,R,22,Z,0
175005,12,R,13,Z,0,R,13,Z,0,Z,0,R,1,R,1,Z,0,R,11,Z,0,Z,0,Z,0,R,0,R,5,R,5,R,3,Z,0
175014,2,R,200,R,12,R,188,R,0,R,4,R,46,R,16,R,0,R,82,R,6,R,46,R,0,R,0,R,58,R,102,R,40,R,0
175014,3,R,1179,R,200,R,979,R,5,R,43,R,240,R,55,R,1,R,568,R,30,R,237,R,0,R,0,R,279,R,693,R,207,R,0
175014,5,R,122,R,16,R,106,R,0,R,7,R,9,R,4,R,0,R,83,R,4,R,15,R,0,R,0,R,38,R,69,R,15,R,0
175014,7,R,20,R,4,R,16,R,0,R,0,R,3,R,1,R,0,R,16,R,0,R,0,R,0,R,0,R,2,R,15,R,3,R,0
175014,12,R,340,R,52,R,288,R,3,R,17,R,33,R,24,R,1,R,199,R,12,R,51,R,0,R,0,R,74,R,201,R,65,R,0
175041,2,R,369,R,234,R,135,R,3,R,60,R,60,R,21,R,0,R,207,R,13,R,4,R,1,R,0,R,158,R,167,R,44,R,0
175041,3,R,653,R,280,R,373,R,2,R,134,R,198,R,59,R,1,R,225,R,28,R,2,R,4,R,7,R,285,R,292,R,69,R,0
175041,11,R,165,R,15,R,150,R,0,R,35,R,50,R,22,R,0,R,39,R,11,R,5,R,3,R,35,R,88,R,36,R,5,R,1
175041,12,R,196,R,39,R,157,R,2,R,22,R,46,R,19,R,0,R,93,R,14,R,0,R,0,R,0,R,83,R,82,R,31,R,0
175078,3,R,13,R,4,R,9,R,0,R,0,R,1,R,0,R,0,R,12,R,0,R,0,R,0,R,0,R,10,R,1,R,2,R,0
175078,5,R,427,R,139,R,288,R,1,R,8,R,36,R,15,R,0,R,323,R,13,R,6,R,25,R,0,R,262,R,123,R,42,R,0
175078,7,R,169,R,46,R,123,R,1,R,3,R,1,R,4,R,0,R,131,R,0,R,2,R,27,R,0,R,35,R,110,R,23,R,1
175078,10,R,14,R,5,R,9,R,0,R,0,R,0,R,0,R,0,R,14,R,0,R,0,R,0,R,0,R,0,R,8,R,6,R,0
175078,12,R,3,R,1,R,2,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,3,R,0,R,0,R,0
